path,extension,bytes,width,height,alpha_min,alpha_max,sha256
01_player/walk_flashlight_outlined/opaque_navy/player-walk-flashlight-outlined-v9.gif,.gif,433676,512,512,255,255,a9e4b14f23026de58dcff559bd2d4849c2cab2ed2cd4baceda4e33c8208bc95b
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-01.png,.png,108135,512,512,0,255,af052f08b7e5ec01a0584c23eae47cb203d5245f476b8b805ccc24f38d8a06d9
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-02.png,.png,103860,512,512,0,255,f24b7dd42842fa9d138cf2bff848284c239e2ddd0174ebb0727e02081a91b80d
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-03.png,.png,93720,512,512,0,255,cda587cf7c13e3f0828624153dc39047879b8e70ecfce70f14f52a06a030c632
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-04.png,.png,102853,512,512,0,255,7e18a83f3157716d5b61a651abca804e5d7ddbe99d53a5d709d8b49db8e655bd
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-05.png,.png,108135,512,512,0,255,af052f08b7e5ec01a0584c23eae47cb203d5245f476b8b805ccc24f38d8a06d9
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-06.png,.png,102727,512,512,0,255,0104472fc60db7dbe868bf271b75d941717571b042ec0ec7471fbd6bbe316dc9
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-07.png,.png,93730,512,512,0,255,fb58368ada68d5ca441dc5e357e5b811c533abcc2d6cff370cb9b7d837a99794
01_player/walk_flashlight_outlined/transparent/frames/player-walk-flashlight-outlined-v9-frame-08.png,.png,102853,512,512,0,255,7e18a83f3157716d5b61a651abca804e5d7ddbe99d53a5d709d8b49db8e655bd
01_player/walk_flashlight_outlined/transparent/player-walk-flashlight-outlined-v9-sheet.png,.png,813386,2048,1024,0,255,b37bb985bc2917305a8db9ecf8fe7c668ca97da434deeab583489c4372a21217
01_player/walk_flashlight_outlined/transparent/player-walk-flashlight-outlined-v9.gif,.gif,146488,512,512,255,255,bedf815cab7c6e85080b1246b7406fc0d043c0799cec4945dae48f0ab81bfbd0
02_enemies/core_scribble_enemy/attack_8f/metadata.json,.json,291,,,,,3ad029aeb02febf09518da43c0a43586ac9744737bf408665b6bd298a504f478
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/core-enemy-attack-8f-sheet.png,.png,817502,2048,1024,255,255,a88180ded921a92dadeb034e52fb6bd2a9ed6ba71abadded01485e82a73414f9
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/core-enemy-attack-8f.gif,.gif,401709,512,512,255,255,524467ed1cd03de85641c94e04b0c047750ecf633001ffac1ea66f34de8c5755
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-01.png,.png,118094,512,512,255,255,c4bd4bbe3532b2b96490c7ffaba1ccdc7108cae6bab3b7cc0729388f03776f57
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-02.png,.png,87453,512,512,255,255,025e415bad71a142030d723ce726d8ebfa42356767a51933f006750e047b38d9
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-03.png,.png,98340,512,512,255,255,02a88db35ffb724e55e900932c5bc80dab5231e142b7aedf17ffb6eaa14efadb
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-04.png,.png,98172,512,512,255,255,6c60b37d843a0a6d8b807ca1bd7a146d3fe948414d1bd2aba5d5c353133a217e
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-05.png,.png,116993,512,512,255,255,6d40b12492d9fb6982bc82369494710ed88cd582c20720f3898b2db8ef81185a
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-06.png,.png,105537,512,512,255,255,cddc147dfe558ff59d9ac8833b10053a638bc9949484800067b75bd4a6d38a14
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-07.png,.png,100707,512,512,255,255,ebdac48ef7b50e3b50aec967f80630c0331f391e53ce6f20d3c75dd30ee6e9b4
02_enemies/core_scribble_enemy/attack_8f/opaque_navy/frames/core-enemy-attack-8f-frame-08.png,.png,104628,512,512,255,255,14bb24a762acb3d7c01ad13007c73e6fd974a612c99d5b7a6195697ffb4f51ce
